grup,ort_eksik_%,maks_%,min_%,sütun_sayısı
light,89.6,89.73,89.43,8
call,88.38,88.38,88.38,20
sms,88.38,88.38,88.38,8
location,39.15,96.6,0.39,136
audio,30.72,77.44,0.0,140
quality,22.1,88.38,0.0,4
activity,21.28,88.38,0.0,216
sleep,15.88,63.5,0.0,4
other_app,11.62,11.62,11.62,56
other,0.0,0.0,0.0,3
unlock,0.0,0.0,0.0,56
