sütun,aykırı_adet,aykırı_%,alt_sınır,üst_sınır,min,max
audio_amp_mean_hr_7,3817,7.74,-5754.81,7747.02,0.0,237072.97
other_playing_duration_hr_21,14776,7.738,-1848.0,2464.0,0.0,3600.0
audio_amp_mean_hr_2,3786,7.733,-4814.18,6477.14,0.0,155321.8
other_playing_duration_hr_0,14635,7.664,-1800.0,2400.0,0.0,3600.0
act_tilting_hr_0,1883,7.5,-606.0,808.0,0.0,3572.0
act_on_foot_ep_1,1856,7.393,-822.0,1096.0,0.0,31995.0
other_playing_duration_hr_11,14035,7.35,-1800.0,2400.0,0.0,3600.0
other_playing_duration_hr_22,13987,7.325,-2055.0,2740.0,0.0,3600.0
other_playing_duration_hr_20,13893,7.275,-1800.0,2400.0,0.0,3600.0
other_playing_duration_hr_18,13813,7.233,-1800.0,2400.0,0.0,3600.0
sms_out_num_ep_3,1793,7.142,-15.0,20.0,0.0,232.0
act_tilting_hr_9,1790,7.13,-1131.0,1508.0,0.0,3600.0
other_playing_duration_hr_13,13582,7.112,-1899.0,2532.0,0.0,3600.0
other_playing_duration_hr_10,13536,7.088,-1800.0,2400.0,0.0,3600.0
audio_amp_mean_hr_20,3526,7.05,-23668.61,31978.16,0.0,229824.39
audio_amp_mean_hr_3,3414,6.993,-4093.39,5509.62,0.0,151244.63
sms_in_num_ep_3,1738,6.923,-18.0,24.0,0.0,410.0
unlock_num_hr_2,14951,6.92,-3.0,4.0,0.0,76.0
audio_amp_mean_hr_6,3359,6.859,-4447.17,5989.63,0.0,155670.56
act_on_foot_hr_11,1722,6.859,-549.0,732.0,0.0,3600.0
other_playing_duration_ep_1,12804,6.705,-7203.0,9604.0,0.0,32400.0
audio_amp_mean_hr_4,3249,6.665,-3871.17,5211.11,0.0,155046.03
audio_amp_mean_hr_5,3243,6.647,-3894.72,5245.28,0.0,156875.85
other_playing_duration_hr_19,12572,6.584,-1800.0,2400.0,0.0,3600.0
act_walking_hr_8,14207,6.575,-915.0,1220.0,0.0,3600.0
act_on_foot_hr_15,1637,6.521,-627.0,836.0,0.0,3600.0
light_mean_ep_1,1446,6.517,-67.91,94.23,0.0,6001.88
other_playing_duration_hr_9,12426,6.507,-1800.0,2400.0,0.0,3600.0
other_playing_duration_hr_14,12173,6.375,-2070.0,2760.0,0.0,3600.0
light_mean_ep_2,1433,6.371,-779.88,1138.41,0.0,28162.7
audio_amp_mean_hr_16,3164,6.341,-21749.2,29416.57,0.0,232673.28
audio_amp_mean_hr_10,3165,6.313,-15866.37,21399.65,0.0,324671.03
other_playing_duration_hr_12,11927,6.246,-2001.0,2668.0,0.0,3600.0
audio_amp_mean_hr_15,3119,6.24,-21115.98,28577.83,0.0,196592.39
act_on_foot_hr_16,1534,6.11,-651.0,868.0,0.0,3600.0
audio_amp_mean_hr_17,3054,6.098,-23611.16,31946.62,0.0,242282.05
act_walking_hr_23,12908,5.974,-1632.0,2176.0,0.0,3600.0
loc_food_convo_num,3158,5.924,-1.8,2.4,0.0,12.0
sms_out_num_ep_2,1478,5.887,-21.0,28.0,0.0,410.0
act_in_vehicle_ep_2,12598,5.831,-4947.0,6596.0,0.0,32400.0
light_mean_ep_0,1321,5.782,-332.55,507.44,0.0,23893.0
audio_amp_mean_hr_14,2900,5.78,-22950.46,31041.39,0.0,158285.93
