set,baslangic_satir,baslangic_kullanici,tek_sinifli_drop,az_veri_drop,duplicate_drop,invalid_target_drop,cap_toplam_hucre,final_satir,final_kullanici,drop_uid_listesi
core,34914,218,1,0,0,0,0,34913,217,ad15fc229da933fbf1fc0f92fc9b55a3
extended,34914,218,1,0,0,0,0,34913,217,ad15fc229da933fbf1fc0f92fc9b55a3
