etiket,auc,f1,thr,p,r,f2,thr_f2,p_f2,r_f2,n_feat
BASELINE (orijinal),0.6976489935839529,0.35988200589970504,0.4699999999999999,0.29901960784313725,0.45185185185185184,0.5084033613445378,0.15999999999999998,0.18615384615384614,0.8962962962962963,159
SADECE DEVIATION,0.6477265883769947,0.3352941176470588,0.31999999999999995,0.2780487804878049,0.4222222222222222,0.4622607439508848,0.05,0.15156897572528122,0.9481481481481482,159
AUGMENTED (orig+dev),0.6634841220207073,0.36524822695035464,0.4099999999999999,0.35034013605442177,0.3814814814814815,0.46781287485005996,0.09,0.16467276565798733,0.8666666666666667,318
AUG+USER-MEDIAN,0.5586269196025293,0.2523297491039427,0.05,0.15644444444444444,0.6518518518518519,0.39909297052154197,0.05,0.15644444444444444,0.6518518518518519,477
