,konusma,ses_ortam,aktivite,hareketsizlik,mobilite,telefon_kullanim,iletisim,isik
konusma,1.0,0.3172872910536907,0.0736254578640103,-0.16091173222931934,0.13758211177748028,0.14926792681645026,0.14144585978902677,0.07269844621471903
ses_ortam,0.3172872910536907,1.0,0.037439724104971435,-0.07933306116921143,0.1442482492180259,-0.12935233675411761,0.18563866800079806,0.0494725589430822
aktivite,0.0736254578640103,0.037439724104971435,1.0,-0.5518901852785512,0.14096340246443712,0.12222478498025846,0.06559220886523376,0.080856961468727
hareketsizlik,-0.16091173222931934,-0.07933306116921143,-0.5518901852785512,1.0,-0.36469903229429845,-0.24580398396372366,-0.16180853481054017,-0.08116393737367528
mobilite,0.13758211177748028,0.1442482492180259,0.14096340246443712,-0.36469903229429845,1.0,0.09244412288372295,0.04652373523218715,0.12488599770630626
telefon_kullanim,0.14926792681645026,-0.12935233675411761,0.12222478498025846,-0.24580398396372366,0.09244412288372295,1.0,0.367850333870827,0.08592063286875451
iletisim,0.14144585978902677,0.18563866800079806,0.06559220886523376,-0.16180853481054017,0.04652373523218715,0.367850333870827,1.0,0.05885997764208847
isik,0.07269844621471903,0.0494725589430822,0.080856961468727,-0.08116393737367528,0.12488599770630626,0.08592063286875451,0.05885997764208847,1.0
