,act_in_vehicle_ep_0,act_on_bike_ep_0,act_on_foot_ep_0,act_running_ep_0,act_still_ep_0,act_walking_ep_0,audio_amp_mean_ep_0,audio_amp_std_ep_0,audio_convo_duration_ep_0,audio_convo_num_ep_0,audio_voice_ep_0,call_in_duration_ep_0,call_in_num_ep_0,call_miss_num_ep_0,call_out_duration_ep_0,call_out_num_ep_0,light_mean_ep_0,light_std_ep_0,loc_dist_ep_0,loc_max_dis_from_campus_ep_0,loc_visit_num_ep_0,other_playing_duration_ep_0,other_playing_num_ep_0,sms_in_num_ep_0,sms_out_num_ep_0,unlock_duration_ep_0,unlock_num_ep_0
act_in_vehicle_ep_0,1.0,0.33137391468684296,0.014122785431766061,0.04647455147849453,-0.5146523250445857,0.14615230923288317,0.015867046329532487,0.008082709832132065,-0.007820838053130883,-0.007962202196699351,-0.010637443654834551,0.1635729495663165,0.18839356512597588,-0.006060433820928057,0.12708114574699883,0.17689374855361875,0.25041466572288046,0.36202354511459195,0.722395124912754,0.4042165735270265,0.006780086877921631,0.07200031550772887,0.07129568236276754,0.10325952848225095,0.10791919065804081,0.0642266783144468,0.07408876872062752
act_on_bike_ep_0,0.33137391468684296,1.0,0.272864536020835,-0.023089809678985097,-0.297871511610425,-0.04434272054693965,-0.12319724376344296,-0.13335670169832828,0.1546805152612467,0.15498637325971049,0.14273097514276883,0.03927218867448528,0.05401455797695883,0.01014559307032859,0.04906643052511518,0.07094633739694928,0.21195206731662664,0.2718749949392021,0.2905700864797737,0.13727232611081533,0.10087757324975995,-0.1177394128712701,-0.11401935052625643,0.09935059815684612,0.09072883854258719,0.07879743018183356,0.13819579018945222
act_on_foot_ep_0,0.014122785431766061,0.272864536020835,1.0,-0.3829313344577212,-0.13043283568581615,-0.5225278640210428,-0.44771911161411715,-0.4640463778921008,0.6225616640029628,0.6228514028014072,0.5913847628710284,0.08733841485958584,0.09534928832624252,0.09022187206954804,0.15977846321671385,0.17440552469392576,0.3356259145656473,0.4157297355049743,-0.051110597638581085,-0.015793162042701817,0.10144807335724831,-0.5026310425755859,-0.503682498224098,0.22907336371983597,0.24081758387819355,0.1654309749952846,0.15459268904948892
act_running_ep_0,0.04647455147849453,-0.023089809678985097,-0.3829313344577212,1.0,-0.274216618185707,0.5273681488629425,0.22307729640675517,0.22826179139299455,-0.2190561547401057,-0.21877933744275369,-0.20695832711252357,,,,,,,,0.12292648443966192,-0.13484683167718428,0.13355908978429207,0.2338577709208352,0.2382539158117127,,,-0.05744506577443652,0.13619183042840116
act_still_ep_0,-0.5146523250445857,-0.297871511610425,-0.13043283568581615,-0.274216618185707,1.0,-0.6265153479563211,0.00036961545958211174,0.013565729577143778,-0.0884390114388116,-0.08911405310663591,-0.08144930380207924,-0.14533096427199502,-0.16484699335744185,-0.01868584643203719,-0.18363735632680922,-0.21568288514878273,-0.21973234766757538,-0.3183793197603579,-0.4705731437237813,-0.03404532243836772,-0.27023735140520394,-0.03538997910999611,-0.03248442306131428,-0.13477345083151882,-0.10705927417203423,-0.11098533971151084,-0.3468275212146158
act_walking_ep_0,0.14615230923288317,-0.04434272054693965,-0.5225278640210428,0.5273681488629425,-0.6265153479563211,1.0,0.27749734012187854,0.28232011960472503,-0.323934601278501,-0.32339658882811034,-0.31030252413872167,,,,,,,,0.2295836646912436,-0.10905308475099133,0.2018215853440362,0.3450482295654729,0.35450357363976415,,,-0.0036947789788508087,0.22282796852995346
audio_amp_mean_ep_0,0.015867046329532487,-0.12319724376344296,-0.44771911161411715,0.22307729640675517,0.00036961545958211174,0.27749734012187854,1.0,0.9440784806778579,0.1336148850919704,0.1290280802367259,0.17807421078905655,0.1829754646495695,0.21516211884077485,0.06326208584352203,0.17735874949479888,0.23136416807721877,0.14763610571529565,0.21088166179614976,0.06060581311803077,-0.07831403314620777,0.12009787695071511,0.21281901194662076,0.22580285382828563,0.16006967538563288,0.11317492521858127,-0.13042275808516834,-0.11166838259125778
audio_amp_std_ep_0,0.008082709832132065,-0.13335670169832828,-0.4640463778921008,0.22826179139299455,0.013565729577143778,0.28232011960472503,0.9440784806778579,1.0,0.12376198617313723,0.11983785788595024,0.16988133216993623,0.1928603385555573,0.2228077273219605,0.0658985308885104,0.1801732878974921,0.23043905943617218,0.09725792108544085,0.159642993097895,0.05277753077176618,-0.08270452757479929,0.11625219289106593,0.22001877334883707,0.23309141251233514,0.14165809764146745,0.10423796247103707,-0.13317013987509455,-0.12057788444802843
audio_convo_duration_ep_0,-0.007820838053130883,0.1546805152612467,0.6225616640029628,-0.2190561547401057,-0.0884390114388116,-0.323934601278501,0.1336148850919704,0.12376198617313723,1.0,0.9979886260660376,0.9840329059347448,0.09346556283194833,0.10649327057402243,-0.06202998398626509,0.07303056547420879,0.09183103754085327,0.15777007281489147,0.2067049584594839,-0.03967314217677365,-0.07914363463924994,0.24194778279075527,-0.3841486174119599,-0.3722456003113945,0.18928500969919188,0.1616957338328597,0.000763407092955999,-0.00758788292890222
audio_convo_num_ep_0,-0.007962202196699351,0.15498637325971049,0.6228514028014072,-0.21877933744275369,-0.08911405310663591,-0.32339658882811034,0.1290280802367259,0.11983785788595024,0.9979886260660376,1.0,0.9816993030703943,0.09711485084747272,0.10673074918886308,-0.0668739371362567,0.06598535117145735,0.08007971021455203,0.14538046915077546,0.18320256646474103,-0.03958351356199882,-0.07712487597353714,0.2408363539600043,-0.3841183598015624,-0.37169345265947656,0.18846006399523654,0.16124146745000953,0.002372435196141531,-0.005150477338320618
