,count,mean,std,min,25%,50%,75%,max
audio_convo_num_hr_16,216065.0,0.2175039918543031,0.7829554841309527,0.0,0.0,0.0,0.0,12.0
audio_convo_num_hr_17,216065.0,0.23000023141184367,0.7991206639943214,0.0,0.0,0.0,0.0,11.0
audio_convo_num_hr_18,216065.0,0.26276352023696575,0.8367901910844079,0.0,0.0,0.0,0.0,15.0
audio_convo_num_hr_19,216065.0,0.2702612639714901,0.8510832036619822,0.0,0.0,0.0,0.0,13.0
audio_convo_num_hr_2,216065.0,0.051035568000370256,0.37886920023740733,0.0,0.0,0.0,0.0,10.0
audio_convo_num_hr_20,216065.0,0.25125772337028207,0.8307725905451939,0.0,0.0,0.0,0.0,11.0
audio_convo_num_hr_21,216065.0,0.22638095017703005,0.7913243474921668,0.0,0.0,0.0,0.0,13.0
audio_convo_num_hr_22,216065.0,0.1970240436905561,0.7332710659388212,0.0,0.0,0.0,0.0,15.0
audio_convo_num_hr_23,216065.0,0.16212250943003262,0.6639521030244532,0.0,0.0,0.0,0.0,11.0
audio_convo_num_hr_3,216065.0,0.03155531900122648,0.3017006606427996,0.0,0.0,0.0,0.0,9.0
audio_convo_num_hr_4,216065.0,0.02241917941360239,0.25308560755331744,0.0,0.0,0.0,0.0,9.0
audio_convo_num_hr_5,216065.0,0.02042440932126906,0.24070843441845458,0.0,0.0,0.0,0.0,12.0
audio_convo_num_hr_6,216065.0,0.02486288848263254,0.2576980219688454,0.0,0.0,0.0,0.0,11.0
audio_convo_num_hr_7,216065.0,0.043510054844606946,0.32914752642228473,0.0,0.0,0.0,0.0,10.0
audio_convo_num_hr_8,216065.0,0.08303982597829357,0.4632432236922313,0.0,0.0,0.0,0.0,15.0
audio_convo_num_hr_9,216065.0,0.12536505218337074,0.5789429449426882,0.0,0.0,0.0,0.0,10.0
audio_voice_ep_0,216065.0,0.036393951412029855,0.09243900264909169,0.0,0.0,0.0,0.0,1.0
audio_voice_ep_1,216065.0,0.014263517663733365,0.06831991892100342,0.0,0.0,0.0,0.0,1.0
audio_voice_ep_2,216065.0,0.038290834886431986,0.10065633652508382,0.0,0.0,0.0,0.0,1.0
audio_voice_ep_3,216065.0,0.04785553574066293,0.1270175588610962,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_0,216065.0,0.021161924427868198,0.10286965927427533,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_1,216065.0,0.014578672293013005,0.08616999454905748,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_10,216065.0,0.02251191297605221,0.09353069141397496,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_11,216065.0,0.027580088267680353,0.10370896953164468,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_12,216065.0,0.033869041607327156,0.1171963076685529,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_13,216065.0,0.0342741025409911,0.11927195738087604,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_14,216065.0,0.03130500701023956,0.11209229121239488,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_15,216065.0,0.03046629431237174,0.11072946311745978,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_16,216065.0,0.03053225950315225,0.11118409945290347,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_17,216065.0,0.03378035694870939,0.11803609938530336,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_18,216065.0,0.04376889584173334,0.13939029915755524,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_19,216065.0,0.04613608975938242,0.14609377915077743,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_2,216065.0,0.008924951139921863,0.0691813192676969,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_20,216065.0,0.04071311635610495,0.13620974557899554,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_21,216065.0,0.03596649955782586,0.1272434219096242,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_22,216065.0,0.03233867424282162,0.12272776716872771,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_23,216065.0,0.027152600634402932,0.1146612955016107,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_3,216065.0,0.006125754807034588,0.06132059683336903,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_4,216065.0,0.0048862720109180855,0.05667284883899078,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_5,216065.0,0.004709189718152394,0.05610893958193153,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_6,216065.0,0.0052760000702941606,0.05695731310137056,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_7,216065.0,0.00795196240945188,0.06374852492878247,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_8,216065.0,0.01235758311620003,0.07214951058235639,0.0,0.0,0.0,0.0,1.0
audio_voice_hr_9,216065.0,0.017864798245998764,0.08520893372851637,0.0,0.0,0.0,0.0,1.0
call_in_duration_ep_0,25105.0,179.72515435172275,525.826585079798,0.0,0.0,0.0,86.0,12225.0
call_in_duration_ep_1,25105.0,22.85867357100179,162.4906069959971,0.0,0.0,0.0,0.0,8315.0
call_in_duration_ep_2,25105.0,95.6109141605258,341.90498105399337,0.0,0.0,0.0,18.0,8480.0
call_in_duration_ep_3,25105.0,61.25556662019518,286.84766574728957,0.0,0.0,0.0,0.0,8710.0
call_in_num_ep_0,25105.0,1.0183230432184824,1.797016721280878,0.0,0.0,0.0,1.0,30.0
call_in_num_ep_1,25105.0,0.15056761601274646,0.6654562309860678,0.0,0.0,0.0,0.0,20.0
call_in_num_ep_2,25105.0,0.55929097789285,1.1747759807637985,0.0,0.0,0.0,1.0,15.0
call_in_num_ep_3,25105.0,0.31372236606253734,0.7807618173881296,0.0,0.0,0.0,0.0,13.0
call_miss_num_ep_0,25105.0,0.008444532961561443,0.16143104051015333,0.0,0.0,0.0,0.0,14.0
call_miss_num_ep_1,25105.0,0.0017128062139016133,0.09209652442355655,0.0,0.0,0.0,0.0,13.0
call_miss_num_ep_2,25105.0,0.0038637721569408485,0.10267013854796014,0.0,0.0,0.0,0.0,11.0
call_miss_num_ep_3,25105.0,0.0028679545907189805,0.0643003934814938,0.0,0.0,0.0,0.0,4.0
call_out_duration_ep_0,25105.0,221.78872734515036,522.2560603604779,0.0,0.0,0.0,173.0,10787.0
call_out_duration_ep_1,25105.0,21.819637522405895,145.22813794377964,0.0,0.0,0.0,0.0,4063.0
call_out_duration_ep_2,25105.0,128.06126269667396,367.7642664526996,0.0,0.0,0.0,55.0,6791.0
call_out_duration_ep_3,25105.0,71.9078271260705,294.6067133447572,0.0,0.0,0.0,0.0,10753.0
call_out_num_ep_0,25105.0,1.4474805815574587,2.4940097381612847,0.0,0.0,0.0,2.0,69.0
call_out_num_ep_1,25105.0,0.17562238597888866,0.7750151857159364,0.0,0.0,0.0,0.0,21.0
call_out_num_ep_2,25105.0,0.8198765186217885,1.663893665301326,0.0,0.0,0.0,1.0,36.0
call_out_num_ep_3,25105.0,0.4571200955984864,1.2146874718194056,0.0,0.0,0.0,0.0,69.0
light_mean_ep_0,22845.0,155.11506034448223,373.9514837030695,0.0,27.4462934586,66.6193753309,147.443791199,23893.0
light_mean_ep_1,22187.0,31.92459831751005,139.39323934569157,0.0,1.576925807965,6.88218590635,24.7390643826,6001.88084112
light_mean_ep_2,22491.0,347.62335592969566,856.6088207351994,0.0,42.2452443973,122.046322677,316.28580905399997,28162.7005814
light_mean_ep_3,22401.0,64.46617495018504,141.06801882745035,0.0,12.1632653061,30.621761658,74.7058823529,11856.8
light_std_ep_0,22845.0,3870517.4615327357,20107995.670185346,0.0,6485.45371372,69433.2573096,977448.2965,1310488558.22
light_std_ep_1,22187.0,203495.2781384756,3435670.841232991,0.0,36.95233530995,512.328829407,4229.107100255,240566258.935
light_std_ep_2,22491.0,9872984.175047021,49816546.8711578,0.0,7752.310938144999,148349.693275,2427647.380535,2273932783.83
light_std_ep_3,22401.0,164976.3355653488,1881919.2830489925,0.0,529.515275392,2880.91559561,12809.0541716,81922734.7958
loc_dist_ep_0,172565.0,144220.7801318878,4439871.193490206,0.0,2602.45958287,5847.75199075,30330.3709281,1211515851.22
loc_dist_ep_1,165838.0,25435.947704184673,3121557.4330382533,0.0,0.0,0.0,715.67756996625,1199465889.22
loc_dist_ep_2,170646.0,58634.36737719782,1850818.1799284143,0.0,1172.7140543575001,2976.758138995,17312.539607450002,403731482.806
loc_dist_ep_3,168508.0,38219.17070390327,2155193.6203177683,0.0,0.0,1037.399873495,3483.3035054475,481935929.055
loc_dist_hr_0,156233.0,3054.6984387433654,468464.7594421244,0.0,0.0,0.0,0.0,133497766.655
loc_dist_hr_1,155725.0,2465.4683257376246,465717.0231055589,0.0,0.0,0.0,0.0,128098298.848
loc_dist_hr_10,157656.0,3575.0925818525675,247233.77371601612,0.0,0.0,0.0,185.353893545,57419100.5013
loc_dist_hr_11,158471.0,3896.7450160612084,173916.299475224,0.0,0.0,0.0,400.19329365600004,39414008.9395
loc_dist_hr_12,158793.0,4818.69457165627,339799.62561175716,0.0,0.0,0.0,524.154043499,91906231.6021
loc_dist_hr_13,158623.0,4877.591790918804,332797.5993603032,0.0,0.0,0.0,470.3097580765,92007807.0807
loc_dist_hr_14,158419.0,5101.455587795382,338310.2005198133,0.0,0.0,0.0,469.35551784949996,93534301.3933
loc_dist_hr_15,158355.0,5450.067835980614,400945.1965193715,0.0,0.0,0.0,503.612159809,111078605.783
loc_dist_hr_16,158407.0,5245.625080804494,348474.0397881894,0.0,0.0,0.0,517.345226619,70936988.8122
loc_dist_hr_17,159022.0,4730.170517268429,343169.10074386623,0.0,0.0,0.0,531.5107450695,104704082.131
loc_dist_hr_18,159002.0,4860.757283371675,396812.8837436226,0.0,0.0,0.0,516.19197629375,115175809.141
loc_dist_hr_19,157943.0,5469.367444050682,480515.07362421765,0.0,0.0,0.0,388.78616344,115251674.438
loc_dist_hr_2,155002.0,1293.5675056145565,328366.1490631013,0.0,0.0,0.0,0.0,128098298.848
loc_dist_hr_20,157521.0,5482.238392719809,453796.5013363091,0.0,0.0,0.0,212.731749918,115282203.116
loc_dist_hr_21,157832.0,5003.64863241437,455121.36960330943,0.0,0.0,0.0,61.901339543025,104795250.497
loc_dist_hr_22,157963.0,5183.7136808177,400001.04909611127,0.0,0.0,0.0,0.0,69871795.049
loc_dist_hr_23,157661.0,5511.758336633626,588917.198703981,0.0,0.0,0.0,0.0,133497740.778
