uid,dolu_gun_sayisi
ad15fc229da933fbf1fc0f92fc9b55a3,1
c0b0998fe60a905081764378d1102494,9
ea716dd032aaa0dcf8bfa36b1811917f,9
fbcc8cd8254960ed44ffdd3390a2f6a0,10
01fb41df0f6c2f69d65db5a38c600b4c,13
07eab8e219b6a4dcd45167dc216e1189,14
8479552e5849c2f93e5f8ab1720ed78b,18
1badfae62cc1b76787d4f8beb68737bf,20
9ffbe25e279de21de86acd54b6fa60d0,23
8733d6d19519598608c6dc2f9ee525d7,25
703c70ff9f0c7a8e24757d0270a2e932,26
91d30de367a6a0772fdca55ec5b129a2,27
ab5ee451ce580a761fefd88f7b49a97f,27
24e89780f6c9efef9ab28fea842cf620,30
596df3c263e97eb09d44a8535ec20ffa,35
c4de76cb7f30c4073617bfb80fabaec6,37
9e9e21ee5dbdb37ffda3225cd0403d34,38
a4dde9659b38b613f08b37c0c8bfa9eb,39
46f1dfeda71a865074859c81bb314fd9,40
1e85c892d8f047ff621ad9134c4e6d8d,42
f1dcebbb6fbe6d586ddb2c43c781e013,44
1c12f39481a6c09da17bd4e6bebed9a2,44
da130c5ecc942e7cd705585222a42adf,46
4b5eb55e64b6bc941796bf114149cab7,46
c21d2515be8477a92181b9c0035a9884,48
374d8bd8b755b55ed5a9b08304db6cee,49
54446e36f4601e2c4ab70c355baccc32,50
dd2ab53554046244203dfb4a72ad4e18,53
5e8e425fb65143d25c73b88bd26638eb,55
429cf5f822600da91a6f4227c0af86c6,56
1893420fc2b045e14ef0112c1b079afe,57
6b4ad83b4ee50566e899f3b6c0fb7864,58
b4d5a392109a5d0a0e6da33189e63511,66
690d25f3b083e647278ed85c6bb033ae,71
50e32d5c464c892af7aa4b6a666e876d,71
69d24b22972459bf83ab0c8eb24d13cc,72
3528757eaf1d15ee6c778eb79cd02de7,72
12e0a85ee9819ae1abeca0ccfaa52d13,73
a52b5e80b4c7a8e05f8cc0a16ae4ea9f,74
56b90ef8a34e80ebc086ecd8d594e9d8,74
0b9c2303bcc61063f9a5653d77c90501,74
98e5152e1020930fb007145c1c60648b,79
165970c3847523de7691ef9766b0f3f4,81
4a8ac645226348425b0a43a8373e394d,81
f5fa7e56d2303d8b1e3bb33d367c98c5,81
2c4f43b2212eee5ba69563f139911138,82
c98557ba920872193b0d6d8d90ac2eb0,82
8feafc5db9bf59d00a21335e69b57804,83
0aee9faa6f2d2d24d85d2690f5b2df25,85
6294895f1093b3878b385812d65c3197,90
db8df8be53722b041b1e649ae0c0b5d4,94
8ee53a46a77476104276e6a1af54472c,94
632503a1df16a201a0fc5a1b91d3b01c,96
c7d47e96f38254e31508ca2c19b24d29,97
031cf9537e5da78c5a69a10cba088c94,98
8ee7d10d8b836222ee69ff04247971a4,98
6b0083d00297f9c03e00b2cde889b666,99
62caae288910745b5eb9dde5a9873179,104
84875d7ec9c81d58d687aa4805c35c77,105
1fff60a0795f79ab1f9432d2cb1f56ee,106
3e7ca3545ad22d036db36c4f1e9f2e18,106
a6c1b8b62cc50f9022f018b5198648a0,108
3d1a8b919f65dd22f661468f79b9b107,109
59256b077a34f2f4ed7bbf7670e53786,109
f7472689b3556548c03d3b064d6ab9a8,109
db422d4921bbfae5352fdc90cea7bd07,113
4e37495c9c7c8a17e8737e2c61cfe228,114
f066d6d9013a60a4b65eda0f2518f61a,121
59cf760cd019690c9007452187578915,121
76b564dca3ab4d899e5a30d3cbcb0aac,121
c75fc80fba7cbe2b7d9cbc71be5b91a6,122
0f2be96bde481cd3898f147a995a7d56,124
bd441b322153093e69f107a36a9b15d6,124
9a67ed145c6e7be55b1f744897316f71,128
546901e10be0157c4fed40c04bfeaaa5,134
f578948fdf09c92bc603dae7400b6673,136
8e12cde03a0eaf1a9c41596a81a1cf59,137
b17eeda399b312140dc40b8445a8e0a5,137
7d41e1ac6994aa87a10a923b31b16cd8,138
2d5d41b5e9a9a5bb7007264230e4c575,141
61f9310e79c30ff4ff836fa065aee93a,142
480fca3c0b19afab1093cf2f01d63317,146
c2d80f95e15e8973a9a943564baea1b7,148
bbcad50219ee8a1484b4c6f000eb4e68,148
34ed21e64b190dc037d35ef7f646feb8,149
5a254d648a95146b403690f81da84bc3,151
a7a320d21e232075512a494c982dc17f,152
003df5deff30e1e5a07b5d063fe85c3f,152
cf007be9a060b779cf5a71b3e59a9d5b,154
13789d5f8a59f1e347e42b99233530d6,154
8617ddac1f48b148e3683738519b2e7a,155
968356427b2638af0930896c8d4a48d5,157
4005a296ac7cd078b8bd56f0b905b7a6,159
bea4c7250c8631ddfacf57dfa386caba,159
ac02afb2367b89fdcab1b1245e195b27,159
fa394f6d3d077bd5568fc3bc01580806,159
1741432fb469dbbcd5a40599670c64ce,160
1d0fa4dfa0545bedeaa6045c70b6d19c,161
e60e86c5e68c34e34f69aa9257eb977b,161
96cf40f9d3b2d69466161000cd69ae5c,162
c31fd374e5d8227a31bf8f06f0402b96,165
f5529fbae87a8d170937d3e39d5a63cc,166
8c644d8cbd193c5575bb826a8abaa245,166
